[-0.281, 0.273, 0.198, 0.221, -0.34, -0.241, 0.188, 0.24, 0.135, -0.178, 0.254, -0.271, 0.195, -0.229, 0.313, 0.131]
[0.263, -0.161, -0.234, -0.176, -0.187, 0.336, -0.308, 0.254, 0.292, -0.268, -0.228, 0.222, -0.28, -0.168, 0.169, 0.253]
[0.278, -0.289, -0.216, 0.253, -0.189, 0.131, -0.265, -0.246, 0.3, 0.243, 0.343, -0.251, -0.156, 0.0995, 0.23, -0.253]
[-0.284, -0.254, 0.136, -0.224, 0.28, 0.271, 0.192, 0.328, -0.273, -0.189, -0.206, -0.0693, -0.317, -0.231, -0.278, 0.199]
[0.262, -0.349, -0.23, 0.254, 0.207, -0.163, -0.223, -0.156, 0.271, 0.307, 0.295, -0.187, 0.212, -0.0903, 0.28, -0.228]
[0.248, -0.292, -0.256, 0.259, -0.17, 0.0796, -0.24, -0.269, 0.289, 0.254, 0.367, -0.223, -0.149, 0.0614, 0.266, -0.259]
[0.162, -0.362, -0.236, 0.239, 0.15, -0.112, -0.224, -0.212, 0.256, 0.339, 0.286, -0.3, 0.206, -0.124, 0.236, -0.225]
[-0.307, -0.175, 0.21, -0.207, -0.224, -0.188, 0.242, -0.327, 0.315, 0.197, 0.202, 0.242, 0.267, 0.264, 0.243, -0.204]
[-0.126, 0.201, 0.023, -0.00649, 0.14, 0.195, 0.116, 0.201, 0.211, -0.321, -0.243, -0.242, 0.276, 0.282, -0.197, 0.259]
[-0.321, -0.311, 0.0809, -0.134, -0.3, -0.23, 0.302, -0.308, 0.215, 0.117, 0.163, 0.147, 0.25, 0.181, 0.199, -0.216]
[-0.22, -0.237, 0.228, -0.292, 0.258, 0.247, 0.172, 0.303, -0.344, -0.228, -0.242, -0.118, -0.22, -0.225, -0.194, 0.241]
[0.302, 0.254, -0.123, -0.283, 0.309, -0.048, -0.318, 0.0237, 0.00963, -0.312, 0.375, 0.216, -0.229, -0.261, -0.163, -0.184]
[-0.289, -0.263, 0.143, -0.123, -0.242, -0.184, 0.307, -0.262, 0.267, 0.182, 0.212, 0.209, 0.243, 0.263, 0.29, -0.237]
[-0.262, -0.257, 0.203, -0.32, 0.295, 0.294, 0.241, 0.261, -0.222, -0.254, -0.204, -0.0391, -0.271, -0.224, -0.203, 0.206]
[0.286, -0.232, -0.273, 0.255, -0.0946, 0.0871, -0.263, -0.264, 0.25, 0.301, 0.241, -0.269, -0.284, 0.0876, 0.197, -0.298]
[-0.242, 0.239, 0.239, -0.158, 0.208, 0.255, 0.161, 0.277, 0.0741, -0.284, -0.234, -0.282, 0.221, 0.199, -0.255, 0.329]
[-0.307, -0.229, 0.177, -0.126, -0.243, -0.193, 0.265, -0.183, 0.276, 0.163, 0.174, 0.237, 0.303, 0.241, 0.296, -0.193]
[-0.338, 0.276, 0.214, 0.189, -0.308, -0.253, 0.208, 0.256, 0.135, -0.203, 0.238, -0.22, 0.222, -0.269, 0.276, 0.154]
[-0.206, 0.281, 0.00531, -0.186, -0.0305, 0.105, 0.0779, 0.161, 0.204, -0.206, -0.00301, 0.138, 0.0999, -0.236, -0.249, -0.0621]
[0.201, -0.331, -0.243, 0.231, 0.172, -0.1, -0.19, -0.222, 0.254, 0.324, 0.361, -0.184, 0.239, -0.0877, 0.25, -0.293]
[-0.349, -0.286, 0.0915, -0.167, -0.283, -0.154, 0.306, -0.306, 0.253, 0.184, 0.183, 0.173, 0.231, 0.246, 0.209, -0.2]
[0.285, 0.253, -0.132, -0.248, 0.361, 0.175, -0.347, -0.00436, 0.177, -0.299, 0.236, 0.158, -0.251, -0.215, -0.191, -0.272]
[0.235, 0.259, -0.141, -0.243, 0.271, -0.145, -0.362, 0.0942, 0.128, -0.279, 0.41, 0.199, -0.249, -0.206, -0.0656, -0.179]
[-0.19, 0.263, 0.127, 0.0353, 0.193, 0.27, 0.197, 0.226, 0.114, -0.316, -0.273, -0.324, 0.247, 0.308, -0.282, 0.26]
[0.248, -0.291, -0.264, 0.235, 0.173, -0.095, -0.223, -0.154, 0.321, 0.305, 0.339, -0.171, 0.216, -0.108, 0.24, -0.304]
[-0.244, -0.283, 0.0988, -0.229, 0.237, 0.234, 0.149, 0.271, -0.301, -0.229, -0.244, -0.101, -0.306, -0.245, -0.238, 0.315]
[-0.298, 0.286, 0.262, 0.129, -0.237, -0.24, 0.224, 0.253, 0.297, -0.226, 0.24, -0.208, 0.26, -0.172, 0.265, 0.137]
[0.252, -0.374, -0.256, 0.247, 0.214, -0.122, -0.18, -0.204, 0.263, 0.302, 0.294, -0.164, 0.232, -0.0944, 0.23, -0.282]
[-0.269, -0.225, 0.194, -0.252, 0.25, 0.313, 0.231, 0.289, -0.273, -0.234, -0.236, -0.0302, -0.311, -0.241, -0.224, 0.193]
[0.248, -0.158, -0.252, 0.315, 0.0392, 0.0989, -0.295, -0.237, 0.251, 0.25, 0.243, -0.372, -0.296, 0.0172, 0.236, -0.283]
[-0.321, 0.246, -0.205, -0.249, -0.238, 0.256, 0.219, 0.263, 0.205, -0.215, -0.162, 0.136, 0.176, -0.227, -0.33, -0.294]
[0.263, -0.139, -0.228, 0.263, 0.054, 0.0712, -0.213, -0.152, 0.281, 0.3, 0.25, -0.335, -0.279, 0.0139, 0.258, -0.353]
[-0.283, 0.312, -0.177, -0.263, -0.161, 0.285, 0.215, 0.228, 0.234, -0.192, -0.191, 0.142, 0.183, -0.264, -0.29, -0.319]
[0.322, -0.36, -0.263, 0.29, 0.266, -0.165, -0.256, -0.187, 0.201, 0.262, 0.272, -0.198, 0.154, -0.179, 0.166, -0.124]
[-0.305, 0.263, 0.187, 0.248, -0.408, -0.199, 0.204, 0.172, 0.163, -0.204, 0.217, -0.228, 0.21, -0.221, 0.283, 0.246]
[0.29, -0.334, -0.212, -0.191, -0.265, 0.182, -0.292, 0.292, 0.167, -0.241, -0.279, 0.177, -0.23, -0.166, 0.171, 0.281]
[-0.329, 0.265, 0.232, 0.186, -0.331, -0.234, 0.163, 0.225, 0.257, -0.243, 0.19, -0.228, 0.224, -0.193, 0.279, 0.197]
[0.251, -0.188, -0.271, 0.314, 0.00792, 0.055, -0.252, -0.22, 0.274, 0.258, 0.279, -0.332, -0.262, 0.0262, 0.226, -0.328]
[0.201, -0.0838, -0.0517, -0.268, -0.242, 0.327, -0.22, 0.199, 0.31, -0.22, -0.108, 0.222, -0.205, -0.112, 0.121, 0.167]
[0.259, -0.253, -0.259, 0.281, -0.1, 0.102, -0.253, -0.319, 0.279, 0.251, 0.289, -0.22, -0.255, 0.0975, 0.215, -0.268]
